manager,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Васильев Артем Александрович,0.6038672638841915,0.6880199559826247,1.187239360512557,0.6152032711271541,0.14272535914426562,0.38331584819824627,0.45174564293876796,0.5826319677723358,0.39078582434514636,0.23000851226824107,0.887846625308319,0.8206353837663661
Иванова Мария Сергеевна,,0.20623579846363121,,0.6016450108052497,0.31053059784451753,0.741424673200249,,0.5053474344629203,0.3880625322764083,1.0,,
Кузнецов Михаил Иванович,,2.1444539982803095,3.1688476341408194,,,,,,,,1.4467000340833647,1.0383662671840808
Михайлов Андрей Сергеевич,1.0479687618205202,0.7378937652747072,0.18384753781568602,0.9963064862623902,1.1920014986444196,1.0252954002826098,,,,,0.3748926006794731,
Попова Екатерина Николаевна,0.29582669178379944,0.5040690709298963,,0.8604875842789015,0.32550934677588744,0.6646253274820453,0.5057859836172149,0.16482960134235955,0.4052975825715036,0.6348906023273679,0.7141475744691379,
Смирнова Ольга Владимировна,,0.730967849408629,1.1505208333333334,,1.0363147998925597,,0.5162791441753317,1.5530651625352532,0.4803482246699049,0.6078080009844038,1.041303626361805,0.672006654617154
Соколова Анастасия Викторовна,0.9688328469267271,0.5843786325728996,0.19016864735874636,0.8956304321943088,0.9452055825906694,0.23331711174645658,0.6954749527410208,0.5279431315950223,0.21139003071420678,,0.9153490280842363,0.2746578021118498
