manager,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Васильев Артем Александрович,0.437002879073752,0.6086416764992748,1.056562603886488,0.6272496074555833,0.19174543682855258,0.24392390281669168,0.38928703566102807,0.5850156702127803,0.47750385208012325,0.172432592799243,0.8867503799486758,0.6788687916113189,0.32406316285646947
Иванова Мария Сергеевна,,0.2700657835853922,,0.4460744555188425,0.2776828335454751,1.0,,0.4726105650056064,0.540674552628795,1.0,,,
Кузнецов Михаил Иванович,,1.2659787904843796,1.6939098935929364,,,,,,,,1.3085154260215794,0.9534111103467954,0.27401166435505364
Михайлов Андрей Сергеевич,0.9062563648954557,0.6879234191303456,0.9036449656826814,2.4305770172992123,1.0988393204263438,1.1896159187253326,,1.1975246274311695,,,0.44907836462505674,,
Петрова Анна Дмитриевна,,,,,,,,,,,,,1.1111818218738578
Попова Екатерина Николаевна,0.29582669178379944,0.44067831618953196,,0.5034328235487584,0.1594552965063362,0.5720129918429078,,0.08910490076954232,0.4052975825715036,0.6348906023273679,0.7001649171060593,,
Смирнова Ольга Владимировна,,0.7433949691820756,,,0.9661026054257319,,,,0.37252856263255113,0.7654703803896091,1.0384095928038195,0.800320407492606,0.36113697114525556
Соколова Анастасия Викторовна,0.8355203065475527,0.4008201346071938,0.27689984424320674,0.9209905941183474,1.0658346153749627,0.1831619928219478,0.7664224952741021,0.6001545076714856,0.5412625778835392,0.2715041524560011,0.8151761040388205,0.270590535784122,0.791061481597168
